1	1	608.77
2	2	564.03
3	3	567.00
4	4	636.01
5	1	660.42
6	2	606.69
7	3	583.24
8	4	656.51
9	1	696.66
10	2	661.32
11	3	656.85
12	4	820.61
13	1	827.70
14	2	769.81
15	3	731.00
16	4	865.00
17	1	907.18
18	2	823.93
19	3	804.82
20	4	909.59
21	1	992.06
22	2	891.03
23	3	881.17
24	4	996.19
25	1	1078.27
26	2	1001.52
27	3	979.48
28	4	1093.13
29	1	1183.83
30	2	1109.44
31	3	1126.50
32	4	1383.91
33	1	1387.26
34	2	1265.50
35	3	1257.01
36	4	1421.25
37	1	1515.69
38	2	1381.69
39	3	1351.34
40	4	1509.67
41	1	1636.98
42	2	1452.70
43	3	1440.69
44	4	1609.36
45	1	1742.78
46	2	1586.74
47	3	1584.61
48	4	1750.19
49	1	1942.29
50	2	1794.92
51	3	1769.00
52	4	1966.45
53	1	2164.58
54	2	2023.75
55	3	2048.11
56	4	2428.36
57	1	2394.63
58	2	2250.31
59	3	2254.39
60	4	2493.70
61	1	2681.39
