1	  Qtr1	105715
2	  Qtr2	120136
3	  Qtr3	181669
4	  Qtr4	239813
5	  Qtr1	159980
6	  Qtr2	164760
7  	Qtr3	224800
8	  Qtr4	298469
9	  Qtr1	211060
10	Qtr2	217753
11	Qtr3	273616
12	Qtr4	359592
13	Qtr1	241348
14	Qtr2	264328
15	Qtr3	322752
16	Qtr4	423669
17	Qtr1	309925
18	Qtr2	325939
19	Qtr3	405601
20	Qtr4	545131
21	Qtr1	402368
22	Qtr2	404996
23	Qtr3	501690
24	Qtr4	624726
25	Qtr1	490300
26	Qtr2	523056
27	Qtr3	702052
28	Qtr4	803485
29	Qtr1	588864
30	Qtr2	614114
31	Qtr3	827222
32	Qtr4	930209
33	Qtr1	643580
34	Qtr2	693192
35	Qtr3	898677
36	Qtr4	1060000
37	Qtr1	751670
38	Qtr2	773131
39	Qtr3	988346
40	Qtr4	1210000
41	Qtr1	848688
42	Qtr2	868514
43	Qtr3	1160000
44	Qtr4	1520000
