1	5.83
2	6.06
3	6.58
4	7.09
5	7.31
6	7.23
7	7.43
8	7.37
9	7.6
10	7.89
11	8.12
12	7.96
13	7.93
14	7.61
15	7.33
16	7.18
17	6.74
18	6.27
19	6.38
20	6.6
21	6.3
22	6.13
23	6.02
24	5.79
25	5.73
26	5.89
27	6.37
28	6.62
29	6.85
30	7.03
31	6.99
32	6.75
33	6.95
34	6.64
35	6.3
36	6.4
37	6.69
38	6.52
39	6.8
40	7.01
41	6.82
42	6.6
43	6.32
44	6.4
45	6.11
46	5.82
47	5.87
48	5.89
49	5.63
50	5.65
51	5.73
52	5.72
53	5.73
54	5.58
55	5.53
56	5.41
57	4.87
58	4.58
59	4.89
60	4.69
61	4.78
62	4.99
63	5.23
64	5.18
65	5.54
66	5.9
67	5.8
68	5.94
69	5.91
70	6.1
71	6.03
72	6.26
73	6.66
74	6.52
75	6.26
76	6
77	6.42
78	6.1
79	6.04
80	5.83
81	5.8
82	5.74
83	5.72
84	5.23
85	5.14
86	5.1
87	4.89
88	5.13
89	5.37
90	5.26
91	5.23
92	4.97
93	4.76
94	4.55
95	4.61
96	5.07
97	5
98	4.9
99	5.28
100	5.21
101	5.15
102	4.9
103	4.62
104	4.24
105	3.88
106	3.91
107	4.04
108	4.03
109	4.02
110	3.9
111	3.79
112	3.94
113	3.56
114	3.32
115	3.93
116	4.44
117	4.29
118	4.27
119	4.29
120	4.26
121	4.13
122	4.06
123	3.81
124	4.32
125	4.7
