1	425075	1.56396	75253	0	0	457732	325872	304004
2	315305	0.69687	15036	75253	0	254396	457732	325872
3	367286	1.21358	134440	15036	75253	259952	254396	457732
4	429432	0.97085	119740	134440	15036	267368	259952	254396
5	347874	1.23309	135590	119740	134440	158504	267368	259952
6	435529	0.93651	189636	135590	119740	430012	158504	267368
7	299403	1.07519	9308	189636	135590	388516	430012	158504
8	296505	0.73602	41099	9308	189636	225616	388516	430012
9	426701	1.32281	9391	41099	9308	1042304	225616	388516
10	329722	0.87395	942	9391	41099	974092	1042304	225616
11	281783	0.82110	1818	942	9391	301892	974092	1042304
12	166391	0.55606	672	1818	942	76148	301892	974092
13	629404	1.56396	548704	672	1818	0	76148	301892
14	263467	0.69687	52819	548704	672	315196	0	76148
15	398320	1.21358	2793	52819	548704	703624	315196	0
16	376569	0.97085	27749	2793	52819	198464	703624	315196
17	444404	1.23309	21887	27749	2793	478880	198464	703624
18	386986	0.93651	1110	21887	27749	457172	478880	198464
19	414314	1.07519	436	1110	21887	709480	457172	478880
20	253493	0.73602	1407	436	1110	45380	709480	457172
21	484365	1.32281	376650	1407	436	28080	45380	709480
22	305989	0.87395	122906	376650	1407	111520	28080	45380
23	315407	0.82110	15138	122906	376650	267200	111520	28080
24	182784	0.55606	5532	15138	122906	354304	267200	111520
25	655748	1.56396	544807	5532	15138	664712	354304	267200
26	270483	0.69687	43704	544807	5532	536824	664712	354304
27	365058	1.21358	5740	43704	544807	551560	536824	664712
28	313135	0.97085	9614	5740	43704	150080	551560	536824
29	528210	1.23309	1507	9614	5740	580800	150080	551560
30	379856	0.93651	13620	1507	9614	435080	580800	150080
31	472058	1.07519	101179	13620	1507	361144	435080	580800
32	254516	0.73602	80309	101179	13620	97844	361144	435080
33	551354	1.32281	335768	80309	101179	30372	97844	361144
34	335826	0.87395	91710	335768	80309	150324	30372	97844
35	320408	0.82110	9856	91710	335768	293044	150324	30372
36	276901	0.55606	107172	9856	91710	162788	293044	150324
37	455136	1.56396	299781	107172	9856	32532	162788	293044
38	247570	0.69687	21218	299781	107172	23468	32532	162788
39	622204	1.21358	157	21218	299781	4503456	23468	32532
40	429331	0.97085	12961	157	21218	500904	4503456	23468
41	453156	1.23309	333529	12961	157	0	500904	4503456
42	320103	0.93651	178105	333529	12961	0	0	500904
43	451779	1.07519	315564	178105	333529	46104	0	0
44	249482	0.73602	80206	315564	178105	92252	46104	0
45	744583	1.32281	5940	80206	315564	4869952	92252	46104
46	421186	0.87395	36819	5940	80206	376556	4869952	92252
47	397367	0.82110	234562	36819	5940	376556	376556	4869952
48	269096	0.55606	71881	234562	36819	552536	376556	376556
