1	134.756	184.837	0.729
2	196.993	199.719	0.986
3	207.251	162.285	1.277
4	178.773	177.439	1.008
5	130.591	180.332	0.724
6	188.720	192.325	0.981
7	245.362	190.055	1.291
8	181.158	180.514	1.004
9	137.874	191.777	0.719
10	169.716	173.685	0.977
11	269.539	204.738	1.317
12	207.536	210.181	0.987
13	145.338	204.113	0.712
14	244.298	248.278	0.984
15	290.743	218.414	1.331
16	233.678	240.205	0.973
17	170.636	239.345	0.713
18	207.804	212.767	0.977
19	307.400	227.270	1.353
20	190.539	198.930	0.958
21	167.349	237.234	0.705
22	238.324	243.665	0.978
23	341.503	250.769	1.362
24	255.681	267.818	0.955
25	159.994	228.724	0.700
26	243.812	249.039	0.979
27	309.810	226.676	1.367
